ticket_id,cliente_id,titulo,categoria,prioridade,data_abertura,data_primeira_resposta,data_solucao,sla_resposta_alvo_hs,sla_solucao_alvo_hs,horas_consumidas,status,consultor,cumpre_sla_resposta,cumpre_sla_solucao
TCK-1039,CLI-008,Consultoria de otimização de processos operacionais,Consultoria & Treinamento,Alta,2026-06-11 14:43:00,2026-06-11 18:25:00,2026-06-12 01:05:12,2,8,7.8,Fechado,Beatriz Lima,False,False
TCK-1040,CLI-002,Refatoração da rotina de cálculo de impostos,Desenvolvimento & Melhoria,Média,2026-02-10 09:38:00,2026-02-10 12:17:00,2026-02-10 23:51:12,4,24,6.9,Fechado,Lucas Mendes,True,True
TCK-1041,CLI-004,Configuração de rotina de backup em nuvem AWS,Infraestrutura & Cloud,Crítica,2026-04-07 08:45:00,2026-04-07 09:16:12,,1,4,3.3,Em Andamento,Carlos Oliveira,True,
TCK-1042,CLI-008,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Média,2026-02-18 18:58:00,2026-02-18 20:10:00,2026-02-21 02:44:12,4,24,4.7,Fechado,Mariana Costa,True,False
TCK-1043,CLI-001,Modelagem de novos relatórios gerenciais,Consultoria & Treinamento,Baixa,2026-05-15 12:35:00,2026-05-15 15:40:24,2026-05-20 00:39:12,8,48,7.4,Fechado,Lucas Mendes,True,False
TCK-1044,CLI-010,Dúvida na importação do arquivo CSV de pedidos,Dúvidas Operacionais,Média,2026-06-21 08:19:00,2026-06-21 09:55:00,2026-06-21 23:04:36,4,24,1.9,Fechado,Mariana Costa,True,True
TCK-1045,CLI-002,Configuração de certificado SSL e HTTPS,Infraestrutura & Cloud,Baixa,2026-06-02 10:42:00,2026-06-02 14:27:36,,8,48,2.7,Em Andamento,Rodrigo Santos,True,
TCK-1046,CLI-007,Treinamento da equipe no novo módulo fiscal,Consultoria & Treinamento,Média,2026-07-23 12:14:00,2026-07-23 12:51:12,2026-07-24 09:30:12,4,24,5.7,Fechado,Carlos Oliveira,True,True
TCK-1047,CLI-008,Bug na exibição do gráfico de vendas,Suporte & Erros,Baixa,2026-07-12 17:12:00,2026-07-12 20:01:48,2026-07-13 02:09:36,8,48,2.6,Fechado,Mariana Costa,True,True
TCK-1048,CLI-007,Bug na exibição do gráfico de vendas,Suporte & Erros,Média,2026-03-18 16:29:00,2026-03-18 17:27:12,2026-03-20 13:30:12,4,24,2.9,Fechado,Carlos Oliveira,True,False
TCK-1049,CLI-002,Dúvida na importação do arquivo CSV de pedidos,Dúvidas Operacionais,Média,2026-07-07 16:27:00,2026-07-07 18:28:12,2026-07-10 01:11:24,4,24,1.9,Fechado,Mariana Costa,True,False
TCK-1050,CLI-007,Alinhamento estratégico para migração de sistema,Consultoria & Treinamento,Crítica,2026-04-12 16:31:00,2026-04-12 16:50:12,2026-04-12 17:55:00,1,4,3.6,Fechado,Beatriz Lima,True,True
TCK-1051,CLI-005,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Crítica,2026-03-08 10:14:00,2026-03-08 10:27:12,2026-03-08 11:58:24,1,4,4.0,Fechado,Ana Silva,True,True
TCK-1052,CLI-002,Otimização de queries pesadas no banco,Infraestrutura & Cloud,Crítica,2026-03-25 14:24:00,2026-03-25 16:19:12,2026-03-25 17:47:24,1,4,5.1,Fechado,Ana Silva,False,True
TCK-1053,CLI-004,Otimização de queries pesadas no banco,Infraestrutura & Cloud,Alta,2026-05-02 12:48:00,2026-05-02 14:25:12,2026-05-03 04:55:12,2,8,2.7,Fechado,Ana Silva,True,False
TCK-1054,CLI-003,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Média,2026-03-29 12:27:00,2026-03-29 13:54:36,2026-03-30 06:01:12,4,24,2.7,Fechado,Mariana Costa,True,True
TCK-1055,CLI-002,Configuração de certificado SSL e HTTPS,Infraestrutura & Cloud,Baixa,2026-06-17 08:58:00,2026-06-17 13:04:36,2026-06-18 14:16:36,8,48,0.9,Fechado,Rodrigo Santos,True,True
TCK-1056,CLI-008,Configuração de certificado SSL e HTTPS,Infraestrutura & Cloud,Alta,2026-04-08 14:20:00,2026-04-08 14:59:36,2026-04-08 17:35:36,2,8,2.8,Fechado,Ana Silva,True,True
TCK-1057,CLI-008,Backup e restauração de ambiente de testes,Infraestrutura & Cloud,Baixa,2026-06-01 08:47:00,2026-06-01 15:59:00,2026-06-02 15:27:48,8,48,2.8,Fechado,Ana Silva,True,True
TCK-1058,CLI-007,Erro de autenticação no portal do cliente,Suporte & Erros,Baixa,2026-03-24 08:39:00,2026-03-24 09:39:00,2026-03-25 09:32:24,8,48,1.2,Fechado,Carlos Oliveira,True,True
TCK-1059,CLI-002,Consultoria de otimização de processos operacionais,Consultoria & Treinamento,Baixa,2026-07-06 17:47:00,2026-07-06 23:24:12,2026-07-07 11:14:00,8,48,5.5,Fechado,Carlos Oliveira,True,True
TCK-1060,CLI-003,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Baixa,2026-05-08 14:45:00,2026-05-08 19:03:00,2026-05-11 15:22:12,8,48,6.2,Fechado,Beatriz Lima,True,False
TCK-1061,CLI-001,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Média,2026-06-25 08:22:00,2026-06-25 10:47:12,2026-06-25 23:16:36,4,24,2.1,Fechado,Ana Silva,True,True
TCK-1062,CLI-010,Otimização de queries pesadas no banco,Infraestrutura & Cloud,Baixa,2026-05-22 13:40:00,2026-05-23 03:37:00,2026-05-23 08:56:12,8,48,2.1,Fechado,Ana Silva,False,True
TCK-1063,CLI-009,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Baixa,2026-06-04 15:27:00,2026-06-04 19:45:36,2026-06-05 05:27:36,8,48,7.6,Fechado,Rodrigo Santos,True,True
TCK-1064,CLI-004,Modelagem de novos relatórios gerenciais,Consultoria & Treinamento,Média,2026-05-30 17:39:00,2026-05-30 18:55:48,2026-05-31 01:40:12,4,24,4.9,Fechado,Carlos Oliveira,True,True
TCK-1065,CLI-007,Consultoria de otimização de processos operacionais,Consultoria & Treinamento,Média,2026-04-13 17:44:00,2026-04-14 01:14:36,2026-04-14 04:05:36,4,24,3.4,Fechado,Lucas Mendes,False,True
TCK-1066,CLI-008,Otimização de queries pesadas no banco,Infraestrutura & Cloud,Média,2026-04-03 15:41:00,2026-04-03 17:21:12,2026-04-03 23:21:48,4,24,1.7,Fechado,Rodrigo Santos,True,True
TCK-1067,CLI-004,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Alta,2026-06-29 13:30:00,2026-06-29 14:10:48,2026-06-30 05:47:24,2,8,5.2,Fechado,Beatriz Lima,True,False
TCK-1068,CLI-009,Backup e restauração de ambiente de testes,Infraestrutura & Cloud,Média,2026-04-06 11:07:00,2026-04-06 12:19:00,2026-04-07 07:43:36,4,24,2.6,Fechado,Lucas Mendes,True,True
TCK-1069,CLI-007,Implementação de filtro avançado na listagem,Desenvolvimento & Melhoria,Média,2026-06-04 12:46:00,2026-06-04 15:31:36,2026-06-05 10:00:24,4,24,10.2,Fechado,Beatriz Lima,True,True
TCK-1070,CLI-001,Alinhamento estratégico para migração de sistema,Consultoria & Treinamento,Crítica,2026-03-18 12:00:00,2026-03-18 12:12:00,2026-03-18 12:34:12,1,4,3.8,Fechado,Lucas Mendes,True,True
TCK-1071,CLI-001,Automação do envio de notificações por email,Desenvolvimento & Melhoria,Média,2026-02-04 17:18:00,2026-02-04 18:56:24,2026-02-04 20:09:36,4,24,11.4,Fechado,Ana Silva,True,True
TCK-1072,CLI-009,Aumento de capacidade do servidor de banco de dados,Infraestrutura & Cloud,Média,2026-05-14 15:04:00,2026-05-14 17:34:00,2026-05-15 09:05:48,4,24,3.3,Fechado,Ana Silva,True,True
TCK-1073,CLI-004,Lentidão na geração de relatórios mensais,Suporte & Erros,Alta,2026-06-23 14:38:00,2026-06-23 15:47:00,2026-06-23 18:12:48,2,8,3.2,Fechado,Ana Silva,True,True
TCK-1074,CLI-002,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Baixa,2026-04-20 17:39:00,2026-04-21 00:34:12,2026-04-22 04:17:24,8,48,5.8,Fechado,Mariana Costa,True,True
TCK-1075,CLI-008,Treinamento da equipe no novo módulo fiscal,Consultoria & Treinamento,Crítica,2026-04-03 10:35:00,2026-04-03 10:41:00,2026-04-03 12:50:36,1,4,3.7,Fechado,Carlos Oliveira,True,True
TCK-1076,CLI-008,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Média,2026-04-14 15:04:00,2026-04-14 18:23:48,2026-04-15 05:53:12,4,24,8.4,Fechado,Beatriz Lima,True,True
TCK-1077,CLI-002,Automação do envio de notificações por email,Desenvolvimento & Melhoria,Alta,2026-06-20 11:41:00,2026-06-20 12:14:00,2026-06-20 12:48:48,2,8,9.8,Fechado,Ana Silva,True,True
TCK-1078,CLI-010,Dúvida na importação do arquivo CSV de pedidos,Dúvidas Operacionais,Média,2026-03-04 15:44:00,2026-03-04 17:14:36,2026-03-05 04:11:00,4,24,1.8,Fechado,Mariana Costa,True,True
TCK-1079,CLI-004,Esclarecimento sobre regra de encerramento mensal,Dúvidas Operacionais,Média,2026-04-24 17:16:00,2026-04-24 18:10:00,2026-04-25 12:00:24,4,24,2.3,Fechado,Mariana Costa,True,True
TCK-1080,CLI-010,Falha na integração via API com ERP,Suporte & Erros,Alta,2026-02-11 10:30:00,2026-02-11 11:21:00,2026-02-11 17:40:48,2,8,1.8,Fechado,Rodrigo Santos,True,True
TCK-1081,CLI-005,Aumento de capacidade do servidor de banco de dados,Infraestrutura & Cloud,Crítica,2026-05-01 14:21:00,2026-05-01 14:31:48,2026-05-01 16:03:36,1,4,4.0,Fechado,Mariana Costa,True,True
TCK-1082,CLI-006,Configuração de rotina de backup em nuvem AWS,Infraestrutura & Cloud,Média,2026-05-28 09:20:00,2026-05-28 09:50:36,2026-05-29 04:06:48,4,24,3.0,Fechado,Ana Silva,True,True
TCK-1083,CLI-010,Erro de permissão de usuário no módulo financeiro,Suporte & Erros,Alta,2026-05-17 08:12:00,2026-05-17 09:21:36,2026-05-17 12:08:24,2,8,0.7,Fechado,Mariana Costa,True,True
TCK-1084,CLI-002,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Crítica,2026-04-15 15:56:00,2026-04-15 16:08:00,2026-04-16 00:28:24,1,4,3.4,Fechado,Carlos Oliveira,True,False
TCK-1085,CLI-001,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Baixa,2026-02-04 16:26:00,2026-02-04 23:35:00,2026-02-08 10:53:00,8,48,2.7,Fechado,Rodrigo Santos,True,False
TCK-1086,CLI-005,Automação do envio de notificações por email,Desenvolvimento & Melhoria,Baixa,2026-04-16 16:45:00,2026-04-16 22:46:48,2026-04-19 17:26:24,8,48,7.3,Fechado,Beatriz Lima,True,False
TCK-1087,CLI-007,Configuração de certificado SSL e HTTPS,Infraestrutura & Cloud,Alta,2026-06-11 10:55:00,2026-06-11 12:19:36,2026-06-12 00:20:12,2,8,2.9,Fechado,Rodrigo Santos,True,False
TCK-1088,CLI-002,Treinamento da equipe no novo módulo fiscal,Consultoria & Treinamento,Média,2026-04-18 17:37:00,2026-04-19 00:45:24,2026-04-19 08:38:12,4,24,4.1,Fechado,Lucas Mendes,False,True
TCK-1089,CLI-001,Orientação sobre parametrização do sistema,Dúvidas Operacionais,Alta,2026-04-24 11:44:00,2026-04-24 12:29:00,2026-04-25 02:07:24,2,8,1.5,Fechado,Mariana Costa,True,False
TCK-1090,CLI-004,Otimização de queries pesadas no banco,Infraestrutura & Cloud,Baixa,2026-07-20 18:09:00,2026-07-20 18:30:36,2026-07-21 19:52:48,8,48,3.1,Fechado,Mariana Costa,True,True
TCK-1091,CLI-009,Aumento de capacidade do servidor de banco de dados,Infraestrutura & Cloud,Baixa,2026-05-28 08:46:00,2026-05-28 15:02:48,2026-05-30 19:40:36,8,48,2.8,Fechado,Rodrigo Santos,True,False
TCK-1092,CLI-002,Consultoria de otimização de processos operacionais,Consultoria & Treinamento,Alta,2026-05-13 18:05:00,2026-05-13 19:38:00,2026-05-14 08:03:12,2,8,3.9,Fechado,Rodrigo Santos,True,False
TCK-1093,CLI-006,Configuração de rotina de backup em nuvem AWS,Infraestrutura & Cloud,Média,2026-07-09 09:15:00,2026-07-09 12:34:12,2026-07-11 18:07:12,4,24,1.8,Fechado,Ana Silva,True,False
TCK-1094,CLI-002,Erro de autenticação no portal do cliente,Suporte & Erros,Média,2026-03-15 12:57:00,2026-03-15 14:11:24,2026-03-15 21:37:12,4,24,1.8,Fechado,Mariana Costa,True,True
TCK-1095,CLI-001,Refatoração da rotina de cálculo de impostos,Desenvolvimento & Melhoria,Média,2026-06-25 18:50:00,2026-06-25 19:32:36,2026-06-26 03:39:12,4,24,8.7,Fechado,Mariana Costa,True,True
TCK-1096,CLI-008,Configuração de rotina de backup em nuvem AWS,Infraestrutura & Cloud,Alta,2026-04-01 15:40:00,2026-04-01 16:11:48,2026-04-01 21:36:24,2,8,3.2,Fechado,Carlos Oliveira,True,True
TCK-1097,CLI-010,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Média,2026-05-25 13:37:00,2026-05-25 17:05:12,2026-05-26 01:28:36,4,24,1.4,Fechado,Ana Silva,True,True
TCK-1098,CLI-009,Otimização de queries pesadas no banco,Infraestrutura & Cloud,Média,2026-04-02 14:36:00,2026-04-02 15:44:24,2026-04-02 16:22:48,4,24,3.0,Fechado,Ana Silva,True,True
TCK-1099,CLI-007,Backup e restauração de ambiente de testes,Infraestrutura & Cloud,Alta,2026-06-25 18:49:00,2026-06-25 18:59:48,,2,8,2.6,Em Andamento,Ana Silva,True,
TCK-1100,CLI-005,Backup e restauração de ambiente de testes,Infraestrutura & Cloud,Alta,2026-07-06 13:14:00,2026-07-06 14:23:36,2026-07-06 18:48:12,2,8,2.5,Fechado,Carlos Oliveira,True,True
TCK-1101,CLI-007,Criação de novo campo personalizado de cadastro,Desenvolvimento & Melhoria,Crítica,2026-07-16 08:19:00,2026-07-16 08:26:48,2026-07-16 09:04:36,1,4,11.1,Fechado,Beatriz Lima,True,True
TCK-1102,CLI-004,Modelagem de novos relatórios gerenciais,Consultoria & Treinamento,Alta,2026-03-24 10:50:00,2026-03-24 12:35:00,2026-03-24 17:35:00,2,8,7.0,Fechado,Carlos Oliveira,True,True
TCK-1103,CLI-009,Modelagem de novos relatórios gerenciais,Consultoria & Treinamento,Alta,2026-04-28 09:29:00,2026-04-28 12:04:24,2026-04-29 05:59:00,2,8,6.3,Fechado,Lucas Mendes,False,False
TCK-1104,CLI-003,Configuração de rotina de backup em nuvem AWS,Infraestrutura & Cloud,Alta,2026-02-24 14:00:00,2026-02-24 14:18:36,2026-02-24 19:31:12,2,8,1.3,Fechado,Lucas Mendes,True,True
TCK-1105,CLI-004,Backup e restauração de ambiente de testes,Infraestrutura & Cloud,Média,2026-07-23 11:30:00,2026-07-23 14:41:24,2026-07-24 07:33:36,4,24,1.2,Fechado,Ana Silva,True,True
TCK-1106,CLI-002,Bug na exibição do gráfico de vendas,Suporte & Erros,Média,2026-04-19 18:26:00,2026-04-19 18:41:36,2026-04-20 15:56:36,4,24,0.8,Fechado,Beatriz Lima,True,True
TCK-1107,CLI-003,Refatoração da rotina de cálculo de impostos,Desenvolvimento & Melhoria,Média,2026-05-11 15:23:00,2026-05-11 18:05:00,2026-05-13 10:53:00,4,24,9.3,Fechado,Carlos Oliveira,True,False
TCK-1108,CLI-010,Automação do envio de notificações por email,Desenvolvimento & Melhoria,Alta,2026-02-26 15:39:00,2026-02-26 17:22:12,2026-02-26 19:31:48,2,8,6.2,Fechado,Beatriz Lima,True,True
TCK-1109,CLI-007,Desenvolvimento de exportação em Excel customizada,Desenvolvimento & Melhoria,Média,2026-07-26 13:34:00,2026-07-26 21:34:36,2026-07-27 01:28:00,4,24,11.7,Fechado,Ana Silva,False,True
TCK-1110,CLI-002,Aumento de capacidade do servidor de banco de dados,Infraestrutura & Cloud,Média,2026-03-27 18:40:00,2026-03-27 18:50:12,2026-03-28 00:12:24,4,24,0.9,Fechado,Beatriz Lima,True,True
TCK-1111,CLI-006,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Crítica,2026-06-22 11:37:00,2026-06-22 12:25:00,2026-06-22 12:59:48,1,4,5.6,Fechado,Ana Silva,True,True
TCK-1112,CLI-002,Falha na integração via API com ERP,Suporte & Erros,Baixa,2026-03-06 16:16:00,2026-03-06 17:08:48,2026-03-09 07:49:36,8,48,1.6,Fechado,Carlos Oliveira,True,False
TCK-1113,CLI-005,Refatoração da rotina de cálculo de impostos,Desenvolvimento & Melhoria,Alta,2026-02-05 10:16:00,2026-02-05 11:37:36,2026-02-05 16:02:12,2,8,6.5,Fechado,Lucas Mendes,True,True
TCK-1114,CLI-008,Revisão das regras de negócio do contrato,Consultoria & Treinamento,Média,2026-02-28 15:32:00,2026-02-28 17:47:00,2026-03-01 11:23:00,4,24,6.0,Fechado,Rodrigo Santos,True,True
TCK-1115,CLI-009,Modelagem de novos relatórios gerenciais,Consultoria & Treinamento,Média,2026-02-08 08:30:00,2026-02-08 10:05:24,2026-02-09 00:24:00,4,24,4.7,Fechado,Beatriz Lima,True,True
TCK-1116,CLI-003,Falha na integração via API com ERP,Suporte & Erros,Alta,2026-03-10 09:08:00,2026-03-10 10:18:48,,2,8,2.4,Aguardando Cliente,Rodrigo Santos,True,
TCK-1117,CLI-004,Modelagem de novos relatórios gerenciais,Consultoria & Treinamento,Alta,2026-06-16 12:29:00,2026-06-16 13:18:48,2026-06-16 14:13:24,2,8,5.9,Fechado,Rodrigo Santos,True,True
TCK-1118,CLI-008,Como redefinir permissões de grupo de usuários,Dúvidas Operacionais,Baixa,2026-05-27 11:26:00,2026-05-27 14:45:12,2026-05-27 18:43:24,8,48,1.8,Fechado,Mariana Costa,True,True
TCK-1119,CLI-007,Consultoria de otimização de processos operacionais,Consultoria & Treinamento,Média,2026-07-26 15:04:00,2026-07-26 15:28:00,2026-07-27 07:18:24,4,24,4.2,Fechado,Carlos Oliveira,True,True
TCK-1120,CLI-009,Refatoração da rotina de cálculo de impostos,Desenvolvimento & Melhoria,Baixa,2026-07-01 16:35:00,2026-07-01 17:33:12,2026-07-02 21:42:48,8,48,9.4,Fechado,Ana Silva,True,True
TCK-1121,CLI-003,Falha na integração via API com ERP,Suporte & Erros,Média,2026-04-21 13:06:00,2026-04-21 13:56:24,2026-04-21 18:45:00,4,24,0.8,Fechado,Rodrigo Santos,True,True
TCK-1122,CLI-007,Dúvida na importação do arquivo CSV de pedidos,Dúvidas Operacionais,Crítica,2026-04-13 17:14:00,2026-04-13 18:00:48,2026-04-14 03:12:12,1,4,4.5,Fechado,Ana Silva,True,False
TCK-1123,CLI-009,Esclarecimento sobre regra de encerramento mensal,Dúvidas Operacionais,Baixa,2026-07-19 12:01:00,2026-07-19 17:06:24,2026-07-20 06:11:12,8,48,0.5,Fechado,Rodrigo Santos,True,True
TCK-1124,CLI-002,Refatoração da rotina de cálculo de impostos,Desenvolvimento & Melhoria,Média,2026-05-14 09:09:00,2026-05-14 12:39:00,2026-05-14 22:21:00,4,24,5.5,Fechado,Beatriz Lima,True,True
